name, area, area_bbox, area_convex, area_filled, axis_major_length, area_minor_length, bbox1, bbox2, bbox3, bbox4, bbox5, bbox6, centroid1, centroid2, centroid3, centroid_local1, centroid_local2, centroid_local3, mean(coords_scaled), std(coords_scaled), mean(coords), std(coords), equivalent_diameter_area, euler_number, extent, mean(image), std(image), mean(image_convex), std(image_convex), mean(image_filled), std(image_filled), mean(inertia_tensor), std(inertia_tensor), intertia_tensor_eigvals1, intertia_tensor_eigvals2, intertia_tensor_eigvals3, label, mean(moments), std(moments), mean(moments_central), std(moments_central), mean(moments_normalized), std(moments_normalized), num_pixels, slice1, slice2, slice3, slice4, slice5, slice6, slice7, slice8, slice9, solidity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:170.5, 8:132.0009469663002, 9:170.0, 10:132.0, 11:0.0, 12:0.0, 13:170.0, 14:132.0, 15:170.0, 16:132.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2333, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:97.42857142857143, 39:130.67501361650386, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (52)_color_threshold_idx_0_chunck_0_region_42_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:519.0, 8:32.50384592629001, 9:518.5, 10:32.5, 11:0.0, 12:0.0, 13:518.5, 14:32.5, 15:518.5, 16:32.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:63240, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:296.57142857142856, 39:258.0109948614356, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (53)_color_threshold_idx_0_chunck_0_region_13_labels_0_G.png, 1:3.0, 2:3.0, 3:3.0, 4:3.0, 5:3.265986323710904, 6:0.0, 7:666.5, 8:51.01225342993583, 9:666.0, 10:51.0, 11:0.5, 12:0.5, 13:666.0, 14:51.00326786916044, 15:666.0, 16:51.00326786916044, 17:1.9544100476116797, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.16666666666666666, 27:0.2886751345948129, 28:0.3333333333333333, 29:0.3333333333333333, 30:106001, 31:1.25, 32:2.48746859276655, 33:0.3125, 34:0.8454843286542927, 35:0, 36:0, 37:3, 38:380.85714285714283, 39:332.07848838637466, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (54)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:131.5, 8:22.005681084665387, 9:131.0, 10:22.0, 11:0.0, 12:0.0, 13:131.0, 14:22.0, 15:131.0, 16:22.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1050, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:75.14285714285714, 39:67.1680803686406, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (55)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:173.5, 8:62.00201609625287, 9:173.0, 10:62.0, 11:0.0, 12:0.0, 13:173.0, 14:62.0, 15:173.0, 16:62.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:15197, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:99.14285714285714, 39:97.81970086619066, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (56)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:116.5, 8:5.024937810560445, 9:116.0, 10:5.0, 11:0.0, 12:0.0, 13:116.0, 14:5.0, 15:116.0, 16:5.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1178, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:66.57142857142857, 39:57.77754665922727, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_1_chunck_2_region_4_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:162.5, 8:49.002550954006466, 9:162.0, 10:49.0, 11:0.0, 12:0.0, 13:162.0, 14:49.0, 15:162.0, 16:49.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1993, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:92.85714285714286, 39:88.53801212946186, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_2_chunck_0_region_4_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:518.5, 8:29.004310024546353, 9:518.0, 10:29.0, 11:0.0, 12:0.0, 13:518.0, 14:29.0, 15:518.0, 16:29.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:123681, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:296.2857142857143, 39:257.52598442305043, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (58)_color_threshold_idx_1_chunck_7_region_28_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:235.5, 8:104.00120191613172, 9:235.0, 10:104.0, 11:0.0, 12:0.0, 13:235.0, 14:104.0, 15:235.0, 16:104.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:16708, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:134.57142857142858, 39:140.58028427390028, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_7_region_34_labels_1_G.png, 1:4.0, 2:4.0, 3:4.0, 4:4.0, 5:4.47213595499958, 6:0.0, 7:415.25, 8:65.26628149358595, 9:414.75, 10:65.25, 11:0.75, 12:0.75, 13:414.75, 14:65.25478909628013, 15:414.75, 16:65.25478909628013, 17:2.256758334191025, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.3125, 27:0.5412658773652742, 28:0.625, 29:0.625, 30:5690, 31:3.75, 32:9.079509898667439, 33:0.5625, 34:1.4986973510352248, 35:0, 36:0, 37:4, 38:237.28571428571428, 39:211.3350179121254, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_8_region_34_labels_2_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:199.0, 8:28.50438562747845, 9:198.5, 10:28.5, 11:0.0, 12:0.0, 13:198.5, 14:28.5, 15:198.5, 16:28.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:16969, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:113.71428571428571, 39:100.80917515741496, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (6)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:559.0, 8:14.508618128546908, 9:558.5, 10:14.5, 11:0.0, 12:0.0, 13:558.5, 14:14.5, 15:558.5, 16:14.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:9551, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:319.42857142857144, 39:276.85058226046624, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (60)_color_threshold_idx_2_chunck_7_region_33_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:144.0, 8:101.50123151962246, 9:143.5, 10:101.5, 11:0.0, 12:0.0, 13:143.5, 14:101.5, 15:143.5, 16:101.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:8263, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:82.28571428571429, 39:104.7155525162118, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (61)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:327.0, 8:217.50057471188438, 9:326.5, 10:217.5, 11:0.0, 12:0.0, 13:326.5, 14:217.5, 15:326.5, 16:217.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1407, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:186.85714285714286, 39:230.69239170773864, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (62)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:339.5, 8:248.00050403174586, 9:339.0, 10:248.0, 11:0.0, 12:0.0, 13:339.0, 14:248.0, 15:339.0, 16:248.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:964, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:194.0, 39:251.7385264799286, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (63)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:295.5, 8:178.00070224580577, 9:295.0, 10:178.0, 11:0.0, 12:0.0, 13:295.0, 14:178.0, 15:295.0, 16:178.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:465, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:168.85714285714286, 39:198.72049902990346, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_1_chunck_12_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:106.5, 8:91.00137361600648, 9:106.0, 10:91.0, 11:0.0, 12:0.0, 13:106.0, 14:91.0, 15:106.0, 16:91.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:475, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:60.857142857142854, 39:86.65931418314986, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_2_chunck_-1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:142.5, 8:89.00140448330015, 9:142.0, 10:89.0, 11:0.0, 12:0.0, 13:142.0, 14:89.0, 15:142.0, 16:89.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:487, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:81.42857142857143, 39:97.46480264742775, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (65)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:476.0, 8:60.502066080424065, 9:475.5, 10:60.5, 11:0.0, 12:0.0, 13:475.5, 14:60.5, 15:475.5, 16:60.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:3227, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:272.0, 39:239.95773437360648, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_1_chunck_6_region_89_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:390.5, 8:54.00231476520243, 9:390.0, 10:54.0, 11:0.0, 12:0.0, 13:390.0, 14:54.0, 15:390.0, 16:54.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:12955, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:223.14285714285714, 39:197.51197328728387, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_2_chunck_5_region_82_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:390.5, 8:54.00231476520243, 9:390.0, 10:54.0, 11:0.0, 12:0.0, 13:390.0, 14:54.0, 15:390.0, 16:54.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:12847, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:223.14285714285714, 39:197.51197328728387, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (67)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:344.0, 8:95.50130889155395, 9:343.5, 10:95.5, 11:0.0, 12:0.0, 13:343.5, 14:95.5, 15:343.5, 16:95.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:52250, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:196.57142857142858, 39:184.91067893356907, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (68)_color_threshold_idx_1_chunck_9_region_4_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:173.0, 8:63.50196847342608, 9:172.5, 10:63.5, 11:0.0, 12:0.0, 13:172.5, 14:63.5, 15:172.5, 16:63.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:21008, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:98.85714285714286, 39:98.1521101897146, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (69)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:208.75, 8:100.7531016892284, 9:208.25, 10:100.75, 11:0.25, 12:0.25, 13:208.25, 14:100.75062034548472, 15:208.25, 16:100.75062034548472, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:13353, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:119.28571428571429, 39:128.34519779063947, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_0_chunck_6_region_-1_labels_-1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:336.25, 8:126.25247522326048, 9:335.75, 10:126.25, 11:0.25, 12:0.25, 13:335.75, 14:126.25049504853436, 15:335.75, 16:126.25049504853436, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:1241, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:192.14285714285714, 39:191.8268777320013, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_2_chunck_7_region_160_labels_0_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:676.75, 8:92.25338747168041, 9:676.25, 10:92.25, 11:0.25, 12:0.25, 13:676.25, 14:92.2506775042872, 15:676.25, 16:92.2506775042872, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:5986, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:386.7142857142857, 39:342.08800633993684, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (70)_color_threshold_idx_2_chunck_2_region_14_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:280.0, 8:163.50076452420643, 9:279.5, 10:163.5, 11:0.0, 12:0.0, 13:279.5, 14:163.5, 15:279.5, 16:163.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:10771, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:160.0, 39:185.6763697558585, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (71)_color_threshold_idx_2_chunck_15_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:343.5, 8:194.0006443288269, 9:343.0, 10:194.0, 11:0.0, 12:0.0, 13:343.0, 14:194.0, 15:343.0, 16:194.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:546, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:196.28571428571428, 39:224.50498835419754, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_1_chunck_12_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:442.0, 8:249.500501001501, 9:441.5, 10:249.5, 11:0.0, 12:0.0, 13:441.5, 14:249.5, 15:441.5, 16:249.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:10247, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:252.57142857142858, 39:288.8182113089018, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_2_chunck_5_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:226.0, 8:141.50088338946864, 9:225.5, 10:141.5, 11:0.0, 12:0.0, 13:225.5, 14:141.5, 15:225.5, 16:141.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:7446, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:129.14285714285714, 39:154.75734791826164, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (73)_color_threshold_idx_1_chunck_8_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:284.5, 8:62.00201609625287, 9:284.0, 10:62.0, 11:0.0, 12:0.0, 13:284.0, 14:62.0, 15:284.0, 16:62.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:4208, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:162.57142857142858, 39:148.38738600882022, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_3_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:283.0, 8:50.502475186865844, 9:282.5, 10:50.5, 11:0.0, 12:0.0, 13:282.5, 14:50.5, 15:282.5, 16:50.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2598, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:161.71428571428572, 39:145.158744912216, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_6_region_389_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:512.0, 8:45.50274716981382, 9:511.5, 10:45.5, 11:0.0, 12:0.0, 13:511.5, 14:45.5, 15:511.5, 16:45.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:9264, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:292.57142857142856, 39:255.69840333758, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_0_chunck_7_region_173_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:252.0, 8:173.50072045959925, 9:251.5, 10:173.5, 11:0.0, 12:0.0, 13:251.5, 14:173.5, 15:251.5, 16:173.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1508, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:144.0, 39:180.97908324286698, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_1_chunck_9_region_7_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:172.0, 8:97.50128204285316, 9:171.5, 10:97.5, 11:0.0, 12:0.0, 13:171.5, 14:97.5, 15:171.5, 16:97.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1816, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:98.28571428571429, 39:112.5937251305574, 40:1.0, 
